Symptom,Hypertension,Coronary artery disease,Heart attack (Myocardial infarction),Heart failure,Arrhythmia,Peripheral artery disease,Stroke,Atherosclerosis,Atrial fibrillation,Deep vein thrombosis (DVT),Asthma,Chronic obstructive pulmonary disease (COPD),Pneumonia,Bronchitis,Tuberculosis,Pulmonary embolism,Lung cancer,Cystic fibrosis,Sleep apnea,Influenza (Flu),Alzheimer’s disease,Parkinson’s disease,Epilepsy,Migraine,Multiple sclerosis (MS),Amyotrophic lateral sclerosis (ALS),Dementia,Peripheral neuropathy,Bell’s palsy,Stroke (neurological),Diabetes mellitus (Type 1 & Type 2),Hypothyroidism,Hyperthyroidism,Cushing’s syndrome,Addison’s disease,Polycystic ovary syndrome (PCOS),Metabolic syndrome,Obesity,Gout,Hypoglycemia,Common cold,COVID-19,"Hepatitis A, B, or C",HIV/AIDS,Malaria,Lyme disease,Chickenpox (Varicella),Measles,Mumps,Rubella,Rheumatoid arthritis,Lupus (Systemic lupus erythematosus),Psoriasis,Celiac disease,Crohn’s disease,Ulcerative colitis,Ankylosing spondylitis,Graves’ disease,Sjögren’s syndrome,Scleroderma,Gastroesophageal reflux disease (GERD),Peptic ulcer disease,Irritable bowel syndrome (IBS),Gallstones,Pancreatitis,Liver cirrhosis,Hepatitis,Constipation,Hemorrhoids,Gastritis,Osteoarthritis,Osteoporosis,Fibromyalgia,Back pain,Scoliosis,Tendonitis,Carpal tunnel syndrome,Bursitis,Gout (musculoskeletal),Fractures,Cataracts,Glaucoma,Macular degeneration,Conjunctivitis (Pink eye),Tinnitus,Hearing loss,Meniere’s disease,Dry eye syndrome,Retinal detachment,Ear infection (Otitis media),Acne,Eczema (Atopic dermatitis),Psoriasis (skin),Rosacea,"Skin cancer (Melanoma, BCC, SCC)",Warts,Fungal infections,Hives (Urticaria),Shingles (Herpes zoster),Vitiligo
Loss of appetite,0.3,0.021,0.042,0.07,0.078,0.088,0.075,0.097,0.064,0.042,0.062,0.029,0.069,0.03,0.02,0.086,0.043,0.079,0.062,0.083,0.086,0.098,0.084,0.065,0.068,0.012,0.094,0.085,0.034,0.026,0.073,0.038,0.041,0.011,0.088,0.061,0.046,0.023,0.067,0.013,0.077,0.029,0.4,0.3,0.043,0.075,0.08,0.061,0.018,0.015,0.024,0.066,0.071,0.034,0.07,0.054,0.05,0.035,0.078,0.02,0.049,0.035,0.071,0.054,0.07,0.014,0.41,0.064,0.011,0.037,0.029,0.022,0.033,0.04,0.011,0.077,0.026,0.044,0.073,0.055,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.062,0.074,0.048,0.02,0.012,0.039,0.082,0.066,0.085,0.093,0.018
Weight loss,0.086,0.032,0.063,0.057,0.046,0.038,0.041,0.04,0.025,0.056,0.02,0.056,0.092,0.041,0.6,0.084,0.4,0.031,0.023,0.028,0.064,0.078,0.069,0.026,0.08,0.054,0.078,0.078,0.05,0.093,0.061,0.067,0.5,0.088,0.5,0.024,0.3,0.05,0.037,0.3,0.015,0.056,0.038,0.4,0.015,0.085,0.017,0.088,0.087,0.065,0.056,0.052,0.06,0.4,0.4,0.05,0.083,0.6,0.039,0.053,0.024,0.016,0.019,0.091,0.041,0.074,0.055,0.026,0.032,0.049,0.05,0.057,0.024,0.044,0.035,0.047,0.04,0.064,0.081,0.068,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.062,0.023,0.041,0.097,0.073,0.045,0.064,0.094,0.038,0.044,0.081
Weight gain,0.083,0.07,0.085,0.076,0.072,0.057,0.068,0.048,0.043,0.043,0.026,0.029,0.095,0.054,0.03,0.022,0.017,0.086,0.019,0.079,0.085,0.09,0.013,0.04,0.079,0.022,0.044,0.025,0.085,0.079,0.083,0.4,0.049,0.6,0.071,0.4,0.3,1,0.077,0.3,0.058,0.038,0.083,0.052,0.085,0.043,0.095,0.099,0.052,0.035,0.044,0.057,0.097,0.084,0.082,0.022,0.033,0.068,0.089,0.06,0.019,0.086,0.087,0.036,0.079,0.035,0.091,0.023,0.049,0.095,0.03,0.051,0.041,0.012,0.015,0.055,0.031,0.1,0.044,0.013,0.094,0.086,0.068,0.081,0.022,0.036,0.085,0.073,0.022,0.073,0.05,0.01,0.017,0.033,0.085,0.059,0.075,0.057,0.02,0.036
Chest pain,0.4,0.7,0.85,0.081,0.051,0.02,0.091,0.3,0.15,0.056,0.2,0.023,0.5,0.065,0.032,0.6,0.2,0.018,0.098,0.016,0.057,0.056,0.099,0.06,0.045,0.052,0.067,0.098,0.033,0.011,0.081,0.041,0.076,0.067,0.079,0.076,0.04,0.014,0.6,0.083,0.026,0.08,0.6,0.073,0.067,0.083,0.016,0.08,0.051,0.036,0.014,0.4,0.014,0.094,0.056,0.099,0.059,0.033,0.078,0.027,0.6,0.7,0.8,0.7,0.3,0.3,0.09,0.4,0.5,0.6,0.098,0.6,0.9,0.3,0.5,0.8,0.075,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.014,0.088,0.042,0.1,0.035,0.098,0.095,0.017,0.067,0.8,0.082
Palpitations,0.2,0.15,0.023,0.065,0.7,0.013,0.016,0.08,0.6,0.044,0.061,0.064,0.071,0.095,0.043,0.079,0.062,0.058,0.046,0.068,0.032,0.02,0.076,0.055,0.045,0.061,0.034,0.033,0.05,0.1,0.036,0.092,0.4,0.021,0.087,0.051,0.091,0.05,0.018,0.071,0.086,0.039,0.041,0.016,0.059,0.09,0.087,0.074,0.093,0.067,0.081,0.056,0.021,0.028,0.022,0.081,0.012,0.4,0.043,0.082,0.06,0.065,0.018,0.038,0.1,0.075,0.057,0.079,0.084,0.017,0.098,0.068,0.05,0.071,0.041,0.089,0.08,0.068,0.026,0.097,0.049,0.092,0.015,0.021,0.024,0.025,0.039,0.074,0.041,0.095,0.091,0.086,0.033,0.067,0.06,0.021,0.037,0.058,0.055,0.025
Dizziness,0.08,0.024,0.069,0.075,0.25,0.086,0.061,0.084,0.25,0.014,0.068,0.062,0.069,0.079,0.047,0.068,0.055,0.066,0.036,0.096,0.053,0.082,0.072,0.037,0.017,0.015,0.05,0.054,0.028,0.065,0.038,0.075,0.076,0.087,0.098,0.022,0.043,0.061,0.039,0.052,0.034,0.032,0.019,0.036,0.045,0.065,0.032,0.088,0.024,0.039,0.062,0.038,0.079,0.055,0.056,0.055,0.038,0.012,0.095,0.055,0.097,0.029,0.042,0.015,0.055,0.089,0.069,0.052,0.058,0.086,0.049,0.089,0.075,0.079,0.043,0.046,0.061,0.028,0.06,0.017,0.055,0.079,0.035,0.099,0.071,0.021,0.098,0.045,0.082,0.041,0.095,0.078,0.028,0.056,0.055,0.014,0.022,0.04,0.053,0.051
Lightheadedness,0.065,0.056,0.3,0.065,0.025,0.099,0.077,0.037,0.04,0.085,0.058,0.074,0.037,0.083,0.043,0.071,0.098,0.063,0.082,0.075,0.072,0.012,0.053,0.097,0.08,0.08,0.062,0.075,0.063,0.025,0.067,0.066,0.086,0.023,0.071,0.013,0.095,0.02,0.012,0.038,0.024,0.072,0.047,0.08,0.093,0.089,0.076,0.016,0.022,0.029,0.039,0.07,0.057,0.038,0.026,0.092,0.041,0.042,0.079,0.075,0.068,0.072,0.065,0.027,0.032,0.06,0.03,0.098,0.037,0.036,0.029,0.073,0.039,0.041,0.094,0.082,0.035,0.021,0.071,0.044,0.098,0.084,0.096,0.082,0.036,0.036,0.074,0.041,0.05,0.033,0.053,0.028,0.058,0.094,0.073,0.022,0.065,0.063,0.032,0.07
Fainting,0.058,0.067,0.015,0.047,0.1,0.019,0.079,0.01,0.06,0.094,0.047,0.094,0.089,0.053,0.028,0.1,0.039,0.068,0.092,0.018,0.062,0.058,0.075,0.094,0.092,0.026,0.089,0.026,0.093,0.1,0.046,0.055,0.094,0.097,0.093,0.089,0.011,0.061,0.02,0.098,0.036,0.099,0.059,0.054,0.094,0.087,0.052,0.027,0.02,0.025,0.051,0.033,0.027,0.076,0.081,0.061,0.078,0.026,0.087,0.091,0.084,0.056,0.018,0.07,0.027,0.023,0.039,0.032,0.033,0.031,0.078,0.096,0.037,0.075,0.011,0.069,0.072,0.016,0.021,0.038,0.046,0.055,0.091,0.073,0.038,0.021,0.092,0.037,0.065,0.03,0.022,0.024,0.077,0.065,0.047,0.059,0.052,0.058,0.07,0.03
Swelling,0.032,0.078,0.089,0.5,0.05,0.073,0.017,0.061,0.016,0.5,0.055,0.062,0.023,0.04,0.057,0.02,0.028,0.062,0.018,0.056,0.083,0.051,0.056,0.051,0.015,0.052,0.083,0.075,0.046,0.083,0.077,0.062,0.014,0.041,0.016,0.099,0.094,0.016,0.3,0.013,0.047,0.079,0.079,0.098,0.068,0.048,0.099,0.044,0.088,0.092,0.044,0.071,0.07,0.059,0.069,0.041,0.026,0.058,0.058,0.076,0.03,0.01,0.012,0.037,0.071,0.3,0.058,0.084,0.032,0.041,0.035,0.3,0.075,0.02,0.083,0.3,0.079,0.3,0.32,0.3,0.019,0.013,0.064,0.073,0.014,0.077,0.046,0.031,0.03,0.088,0.015,0.055,0.036,0.083,0.076,0.039,0.064,0.071,0.039,0.037
Joint pain,0.4,0.069,0.03,0.037,0.015,0.095,0.089,0.092,0.066,0.048,0.055,0.098,0.095,0.07,0.081,0.039,0.047,0.023,0.044,0.078,0.053,0.086,0.037,0.074,0.083,0.092,0.061,0.097,0.06,0.022,0.032,0.028,0.068,0.093,0.086,0.018,0.075,0.3,0.6,0.071,0.064,0.089,0.6,0.079,0.075,0.4,0.053,0.088,0.04,0.096,0.85,0.4,0.097,0.021,0.1,0.053,0.032,0.064,0.028,0.092,0.6,0.7,0.8,0.7,0.3,0.3,0.056,0.4,0.5,0.6,0.9,0.6,0.9,0.3,0.5,0.8,0.03,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.033,0.084,0.097,0.068,0.054,0.025,0.082,0.025,0.075,0.8,0.093
Muscle pain,0.4,0.068,0.015,0.013,0.086,0.095,0.07,0.079,0.047,0.086,0.031,0.074,0.011,0.056,0.044,0.066,0.07,0.065,0.053,0.6,0.011,0.06,0.011,0.058,0.035,0.098,0.012,0.083,0.071,0.083,0.092,0.02,0.019,0.023,0.027,0.057,0.083,0.034,0.6,0.044,0.047,0.061,0.6,0.03,0.072,0.086,0.069,0.087,0.078,0.018,0.044,0.4,0.015,0.011,0.025,0.055,0.049,0.081,0.061,0.087,0.6,0.7,0.8,0.7,0.3,0.3,0.053,0.4,0.5,0.6,0.091,0.6,0.9,0.3,0.5,0.8,0.063,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.099,0.075,0.055,0.098,0.015,0.049,0.085,0.041,0.079,0.8,0.046
Stiffness,0.08,0.013,0.035,0.099,0.054,0.042,0.095,0.049,0.071,0.069,0.018,0.066,0.082,0.074,0.017,0.024,0.074,0.067,0.077,0.039,0.02,0.01,0.038,0.042,0.034,0.022,0.027,0.05,0.06,0.047,0.012,0.042,0.018,0.064,0.039,0.045,0.036,0.045,0.5,0.091,0.091,0.098,0.061,0.025,0.044,0.022,0.037,0.054,0.016,0.049,0.7,0.054,0.017,0.033,0.032,0.066,0.7,0.028,0.02,0.3,0.095,0.04,0.066,0.082,0.04,0.04,0.083,0.087,0.098,0.022,0.6,0.5,0.028,0.038,0.097,0.5,0.036,0.5,0.52,0.5,0.032,0.044,0.083,0.045,0.02,0.061,0.063,0.059,0.071,0.06,0.096,0.052,0.074,0.049,0.036,0.072,0.084,0.082,0.047,0.055
Back pain,0.4,0.032,0.069,0.074,0.081,0.017,0.099,0.053,0.046,0.056,0.093,0.072,0.059,0.081,0.042,0.091,0.058,0.067,0.018,0.079,0.069,0.042,0.068,0.014,0.099,0.071,0.046,0.078,0.097,0.049,0.011,0.033,0.056,0.057,0.062,0.062,0.05,0.045,0.6,0.063,0.055,0.041,0.6,0.019,0.047,0.097,0.02,0.095,0.023,0.038,0.051,0.4,0.053,0.053,0.049,0.073,0.8,0.037,0.083,0.02,0.6,0.7,0.8,0.7,0.3,0.3,0.026,0.4,0.5,0.6,0.031,0.6,0.9,0.3,0.5,0.8,0.065,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.051,0.034,0.088,0.057,0.068,0.064,0.065,0.063,0.041,0.8,0.066
Neck pain,0.4,0.074,0.037,0.065,0.018,0.022,0.021,0.037,0.026,0.072,0.056,0.048,0.022,0.045,0.027,0.067,0.072,0.068,0.1,0.06,0.054,0.023,0.038,0.051,0.015,0.042,0.011,0.022,0.083,0.097,0.055,0.055,0.072,0.047,0.086,0.054,0.017,0.013,0.6,0.036,0.035,0.058,0.6,0.051,0.077,0.079,0.059,0.02,0.02,0.08,0.084,0.4,0.084,0.014,0.075,0.059,0.099,0.019,0.085,0.078,0.6,0.7,0.8,0.7,0.3,0.3,0.099,0.4,0.5,0.6,0.063,0.6,0.9,0.3,0.5,0.8,0.029,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.019,0.097,0.081,0.093,0.099,0.088,0.021,0.088,0.032,0.8,0.085
Shoulder pain,0.4,0.071,0.054,0.062,0.034,0.047,0.051,0.067,0.089,0.018,0.056,0.035,0.094,0.043,0.096,0.039,0.01,0.08,0.076,0.076,0.051,0.07,0.042,0.016,0.058,0.03,0.049,0.029,0.034,0.085,0.04,0.062,0.061,0.054,0.041,0.071,0.014,0.019,0.6,0.051,0.021,0.087,0.6,0.01,0.096,0.028,0.072,0.022,0.068,0.024,0.094,0.4,0.069,0.033,0.043,0.091,0.025,0.046,0.037,0.073,0.6,0.7,0.8,0.7,0.3,0.3,0.03,0.4,0.5,0.6,0.084,0.6,0.9,0.3,0.5,0.8,0.076,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.05,0.075,0.067,0.024,0.047,0.072,0.087,0.018,0.019,0.8,0.063
Tingling,0.045,0.097,0.038,0.023,0.035,0.018,0.06,0.064,0.065,0.08,0.072,0.086,0.069,0.037,0.057,0.056,0.077,0.037,0.015,0.091,0.096,0.055,0.02,0.055,0.063,0.058,0.098,0.6,0.094,0.022,0.087,0.061,0.043,0.071,0.079,0.096,0.079,0.012,0.016,0.034,0.014,0.015,0.081,0.056,0.067,0.055,0.047,0.073,0.017,0.058,0.065,0.035,0.038,0.056,0.028,0.083,0.058,0.045,0.067,0.085,0.071,0.016,0.073,0.076,0.086,0.015,0.018,0.049,0.051,0.065,0.038,0.077,0.077,0.021,0.074,0.073,0.7,0.096,0.057,0.08,0.075,0.025,0.021,0.08,0.034,0.09,0.079,0.013,0.083,0.034,0.016,0.074,0.062,0.017,0.051,0.042,0.055,0.061,0.043,0.033
Numbness,0.019,0.062,0.075,0.031,0.056,0.2,0.2,0.032,0.052,0.044,0.024,0.094,0.087,0.06,0.092,0.077,0.048,0.039,0.047,0.075,0.034,0.2,0.044,0.055,0.5,0.026,0.2,0.6,0.096,0.22,0.052,0.035,0.086,0.039,0.06,0.011,0.028,0.061,0.037,0.066,0.052,0.063,0.054,0.08,0.028,0.091,0.078,0.032,0.011,0.047,0.031,0.041,0.086,0.089,0.096,0.01,0.069,0.086,0.075,0.019,0.058,0.031,0.054,0.015,0.1,0.074,0.018,0.093,0.091,0.057,0.073,0.044,0.098,0.2,0.019,0.022,0.8,0.017,0.061,0.049,0.097,0.031,0.033,0.038,0.082,0.073,0.076,0.039,0.034,0.017,0.028,0.08,0.063,0.024,0.025,0.052,0.047,0.058,0.097,0.029
Weakness,0.038,0.034,0.021,0.024,0.072,0.084,0.3,0.014,0.085,0.04,0.018,0.032,0.042,0.056,0.071,0.033,0.099,0.013,0.046,0.051,0.077,0.3,0.052,0.082,0.6,0.011,0.3,0.2,0.022,0.31,0.044,0.067,0.068,0.062,0.033,0.083,0.012,0.016,0.091,0.05,0.022,0.091,0.085,0.04,0.014,0.051,0.025,0.062,0.084,0.046,0.013,0.071,0.026,0.029,0.027,0.035,0.09,0.013,0.066,0.032,0.037,0.047,0.06,0.015,0.035,0.022,0.028,0.09,0.057,0.067,0.082,0.082,0.099,0.08,0.042,0.059,0.4,0.092,0.055,0.045,0.026,0.039,0.03,0.091,0.08,0.015,0.099,0.058,0.079,0.1,0.098,0.019,0.069,0.034,0.083,0.093,0.015,0.1,0.03,0.086
Tremor,0.082,0.042,0.086,0.086,0.026,0.063,0.083,0.073,0.092,0.013,0.073,0.095,0.061,0.061,0.027,0.099,0.089,0.054,0.038,0.054,0.018,0.031,0.03,0.057,0.01,0.093,0.028,0.022,0.075,0.093,0.086,0.039,0.012,0.063,0.093,0.08,0.086,0.087,0.096,0.044,0.095,0.046,0.019,0.037,0.022,0.024,0.095,0.081,0.096,0.068,0.026,0.097,0.072,0.094,0.081,0.03,0.063,0.026,0.038,0.072,0.021,0.076,0.095,0.095,0.045,0.099,0.097,0.013,0.064,0.093,0.097,0.03,0.061,0.094,0.023,0.077,0.031,0.098,0.025,0.09,0.018,0.074,0.068,0.09,0.05,0.034,0.032,0.016,0.033,0.02,0.01,0.045,0.076,0.097,0.09,0.054,0.044,0.059,0.019,0.053
